liveliness,ambiguous
heart,ambiguous
intent,ambiguous
spirit,ambiguous
emotional_state,ambiguous
spare,like
dislodge,like
barren,like
exempt,like
loose,like
free,like
unblock,like
rid,like
release,like
absolve,like
complimentary,like
detached,like
revengeful,disgust
advice,anticipation
force,sadness
coerce,sadness
wedge,sadness
constrained,sadness
impel,sadness
push,sadness
pull,sadness
storm,sadness
forced,sadness
disgracefully,disgust
attend,fear
hang,fear
bent,fear
cling,fear
capital,like
bang-up,like
big,like
great,like
atrocious,fear
democrat,hope
release,sadness
leave_office,sadness
vacate,sadness
resign,sadness
eagerly,joy
panic,fear
grief,sadness
hatefully,disgust
hapless,sadness
hateful,disgust
protest,disgust
craze,fear
ferocity,fear
fury,fear
refer,anger
concern,anger
business,anger
friendliness,like
displease,disgust
displeasing,disgust
affirm,anticipation
confirm,anticipation
unimportance,disgust
humbleness,disgust
promise,hope
hope,hope
negative,hate
damaging,hate
veto,hate
minus,hate
closing,disgust
settlement,disgust
blockage,disgust
closure,disgust
bright,like
brilliantly,like
undimmed,like
afraid,disgust
isolation,disgust
handy,like
unafraid,calmness
secure,calmness
airheaded,disgust
daunt,fear
side,disgust
slope,disgust
english,disgust
soporific,anticipation
hypnotic,anticipation
plot,joy
bet_on,joy
crippled,joy
game,joy
exemption,hope
freedom,hope
clear,like
solve,like
resolve,like
chic,like
cover_girl,love
miss,disgust
lack,disgust
resignation,sadness
joker,fear
turkey,fear
dangerous,sadness
rend,fear
war,calmness
procure,calmness
batten,calmness
guarantee,calmness
fasten,calmness
plug,calmness
impregnable,calmness
dependable,calmness
crowd,disgust
push,disgust
herd,disgust
amorousness,love
cold,disgust
coldness,disgust
exhilarating,joy
elating,joy
exhilarate,joy
trouble,disgust
problem,disgust
poison,fear
poisoning,fear
bum,like
cheap,like
brassy,like
rich_people,like
cave,disgust
compatibility,like
rest,like
sleep,like
perspiration,disgust
horizon,like
view,like
opinion,like
watch,like
see,like
position,like
scene,like
uncomfortable,disgust
idol,like
paragon,like
entertainment,joy
worsen,disgust
oppressively,sadness
hamper,disgust
shackle,disgust
handicap,disgust
taut,disgust
nasty,disgust
tight,disgust
close,disgust
rigorous,disgust
fast,disgust
compressed,disgust
mean,disgust
besotted,disgust
workshop,like
shop,like
shop_class,like
patronize,like
denounce,like
fierce,anticipation
ferocious,anticipation
cutthroat,anticipation
boisterous,anticipation
force,disgust
tug,disgust
repel,disgust
drive,disgust
drove,disgust
bashful,fear
thoroughly,like
full,like
commodity,like
good,like
beneficial,like
well,like
estimable,like
dear,like
dependable,like
adept,like
effective,like
approve,like
alarmed,fear
alarm,fear
dismay,fear
inefficaciously,disgust
digest,hope
confirm,hope
documentation,hope
accompaniment,hope
subscribe,hope
support,hope
corroborate,hope
back,hope
defend,hope
hold,hope
patronize,hope
dumbfounded,surprise
perplex,surprise
sympathy,like
creaky,hate
arthritic,hate
playboy,disgust
tear,fear
photograph,fear
dart,fear
fritter,fear
film,fear
shoot,fear
inject,fear
blast,fear
exultant,joy
importance,anticipation
approved,like
utilitarian,like
useful,like
irritation,disgust
annoyance,disgust
aggravator,disgust
clamant,disgust
insistent,disgust
probability,hope
sexual_love,love
sleep_together,love
beloved,love
love,love
pamper,like
amble,like
promenade,like
parade,like
diamond,ambiguous
adamant,ambiguous
fearlessness,calmness
ethical,like
honorable,like
honest,like
antipathy,disgust
black_bile,sadness
melancholy,sadness
somber,sadness
delay,disgust
check,disgust
stay,disgust
envy,disgust
tragedy,sadness
calamity,sadness
senior_high_school,anticipation
gamey,anticipation
eminent,anticipation
high_gear,anticipation
high,anticipation
compatible,like
cheerful,joy
predict,fear
fateful,fear
foreboding,fear
awkward,disgust
far,disgust
army_for_the_liberation_of_rwanda,disgust
freeze,disgust
surprise,surprise
storm,surprise
sympathetic,like
charitable,like
harmonic,like
pickpocket,fear
deflect,disgust
crouch,disgust
bent,disgust
bend,disgust
bended,disgust
flex,disgust
appoint,disgust
sicken,disgust
disgust,disgust
annoyed,disgust
annoy,disgust
implant,like
plant,like
establish,like
jealousy,disgust
suspense,anticipation
hopelessly,despair
dispiritedly,despair
guard,anticipation
precaution,anticipation
guard_duty,anticipation
defend,anticipation
malodorous,hate
renovation,like
overhaul,like
pass,like
brake_shoe,disgust
skid,disgust
besot,surprise
liquid_body_substance,joy
abrasion,sadness
grinding,sadness
attrition,sadness
pot,disgust
smoke,disgust
roll_of_tobacco,disgust
fume,disgust
fastball,disgust
peace,calmness
bonheur,joy
protectively,love
belonging,joy
belong,joy
belong_to,joy
smugness,joy
incredibility,disgust
fat,like
deep,like
full-bodied,like
ample,like
rich,like
obstruct,disgust
gladden,joy
gladdened,joy
inoperable,disgust
admiration,like
wonder,like
elaborate,anticipation
complicate,anticipation
detailed,anticipation
scandalmongering,ambiguous
perturb,disgust
trouble_oneself,disgust
worry,disgust
disturb,disgust
fuss,disgust
minimal,disgust
wait,disgust
expect,disgust
all_right,like
finely,like
fine,like
ticket,like
very_well,like
hospitable,like
attraction,anticipation
drawing_card,anticipation
affect,ambiguous
partake,ambiguous
contact,ambiguous
refer,ambiguous
touch,ambiguous
equal,ambiguous
allude,ambiguous
tint,ambiguous
reach,ambiguous
grace,like
good_will,like
dead,calmness
baseless,calmness
idle,calmness
fit,disgust
suit,disgust
equip,disgust
burst,disgust
paroxysm,disgust
match,disgust
meet,disgust
suicide,sadness
fret,disgust
effort,disgust
sweat,disgust
greet,like
sanely,anticipation
reasonably,anticipation
embarrass,disgust
embarrassing,disgust
overboard,disgust
justly,like
right_field,like
correct,like
properly,like
right,like
mighty,like
proper,like
veracious,like
correctly,like
omen,fear
presage,fear
bode,fear
urine,disgust
department_of_defense,calmness
destine,sadness
doomed,sadness
doom,sadness
sentence,sadness
cursed,sadness
entrust,hope
attached,hope
invest,hope
committed,hope
commit,hope
give,hope
perpetrate,hope
gigantic,disgust
